id_alumne,id_professor,dia,franja,materia,grup_curs,tipus_falta,comentari
144,446,2014-10-20,10:40:00-11:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Incident,
180,446,2014-10-20,10:40:00-11:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Incident,
66,446,2014-10-20,10:40:00-11:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Incident,
179,446,2014-10-16,13:45:00-14:45:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Absència, 
111,446,2014-10-16,13:45:00-14:45:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Absència, 
126,450,2014-10-20,13:45:00-14:45:00,UF2. Gestors d arxius web,(CFPM IC10 C) 3 CFPM,Absència,
306,436,2014-10-20,11:35:00-12:35:00,(GR)Grec,(BATX LOE 1 A) 1 BATX ,Absència,
284,436,2014-10-20,11:35:00-12:35:00,(GR)Grec,(BATX LOE 1 A) 1 BATX ,Absència,
202,446,2014-10-17,10:40:00-11:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Absència, 
239,446,2014-10-17,10:40:00-11:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Justificada, 
